"name","typeString","addressLineOne","addressLineTwo","city","state","zipFive","zipFour","county","isPoBoxLocation","phone","drivingDirectionsLink","grantNumber","delegateNumber","programName","programAddressLineOne","programAddressLineTwo","programCity","programState","programZipFive","programZipFour","programCounty","programPhone","programRegistrationPhone","latitude","longitude"
"Mason 2","Head Start","450 E Southmoor St","","Manito","IL","61546","9106","Mason County",false,"(309) 613-2821","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4154,-89.775","05CH011455","000","Community Action Partnership of Central Illinois, Inc.","1800 5th Street","","Lincoln","IL","62656","9107","Logan County","(309) 613-2821","(217)732-2159 - 236",40.4154,-89.775
"YWCA","Head Start","1201 N Hershey Rd","","Bloomington","IL","61704","3619","McLean County",false,"(309) 662-0461","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4906,-88.9425","05CH011672","000","Heartland Head Start, Inc.","206 Stillwell St","","Bloomington","IL","61701","3741","McLean County","(309) 662-0461","(309)662-4880",40.4906,-88.9425
"LACON","Head Start and Early Head Start","319 5th St","","Lacon","IL","61540","1275","Marshall County",false,"(309) 246-6398","https://maps.google.com?saddr=40.633,-89.399&daddr=41.0247,-89.4103","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(309) 246-6398","(815)625-7830 - 34",41.0247,-89.4103
"Princeville MHS","Migrant and Seasonal Head Start","909 N Town Ave","","Princeville","IL","61559","7536","Peoria County",false,"(309) 385-2213","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9391,-89.7554","90CM009834","005","Princeville CUSD 326","909 Town Ave.","","Princeville","IL","61559","-1","Peoria County","(309) 385-2213","(309)385-2213 - 1949",40.9391,-89.7554
"Logan 1 & 3","Head Start","2018 N Kickapoo St","","Lincoln","IL","62656","1302","Logan County",false,"(217) 732-3448","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1624,-89.3444","05CH011455","000","Community Action Partnership of Central Illinois, Inc.","1800 5th Street","","Lincoln","IL","62656","9107","Logan County","(217) 732-3448","(217)732-2159 - 236",40.1624,-89.3444
"Logan 2","Head Start","200 Centennial Ct","","Lincoln","IL","62656","2900","Logan County",false,"(217) 735-2398","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1472,-89.3544","05CH011455","000","Community Action Partnership of Central Illinois, Inc.","1800 5th Street","","Lincoln","IL","62656","9107","Logan County","(217) 735-2398","(217)732-2159 - 236",40.1472,-89.3544
"Logan County EHS","Early Head Start","721 Wyatt Ave","Ste 1","Lincoln","IL","62656","3083","Logan County",false,"(217) 737-5012","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1391,-89.3598","05CH011455","200","Community Action Partnership of Central Illinois, Inc.","1800 Fifth Street","","Lincoln","IL","62656","-1","Logan County","(217) 737-5012","(217)732-2159 - 257",40.1391,-89.3598
"Fulton Head Start","Head Start and Early Head Start","1055 W Locust St","","Canton","IL","61520","8435","Fulton County",false,"(309) 649-1549","https://maps.google.com?saddr=40.633,-89.399&daddr=40.5601,-90.0591","05CH011455","200","Community Action Partnership of Central Illinois, Inc.","1800 Fifth Street","","Lincoln","IL","62656","-1","Logan County","(309) 649-1549","(217)732-2159 - 257",40.5601,-90.0591
"WYOMING EXTENDED DAY","Head Start","110 N 7th St","","Wyoming","IL","61491","1308","Stark County",false,"(309) 695-2046","https://maps.google.com?saddr=40.633,-89.399&daddr=41.062,-89.7731","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(309) 695-2046","(815)625-7830 - 34",41.062,-89.7731
"DeWitt","Head Start and Early Head Start","45 Cedar Sq","","Clinton","IL","61727","2201","De Witt County",false,"(217) 935-4429","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1461,-88.9619","05CH011455","200","Community Action Partnership of Central Illinois, Inc.","1800 Fifth Street","","Lincoln","IL","62656","-1","Logan County","(217) 935-4429","(217)732-2159 - 257",40.1461,-88.9619
"Mason 1","Head Start and Early Head Start","301 S Dale Dr","Ste B","Havana","IL","62644","7003","Mason County",false,"(309) 543-6988","https://maps.google.com?saddr=40.633,-89.399&daddr=40.2986,-90.0439","05CH011455","200","Community Action Partnership of Central Illinois, Inc.","1800 Fifth Street","","Lincoln","IL","62656","-1","Logan County","(309) 543-6988","(217)732-2159 - 257",40.2986,-90.0439
"Lewistown","Head Start","15501 E Avenue L","","Lewistown","IL","61542","9454","Fulton County",false,"(309) 267-2422","https://maps.google.com?saddr=40.633,-89.399&daddr=40.3852,-90.1516","05CH011455","000","Community Action Partnership of Central Illinois, Inc.","1800 5th Street","","Lincoln","IL","62656","9107","Logan County","(309) 267-2422","(217)732-2159 - 236",40.3852,-90.1516
"STREATOR","Head Start and Early Head Start","701 S Sterling St","","Streator","IL","61364","3475","LaSalle County",false,"(815) 673-3120","https://maps.google.com?saddr=40.633,-89.399&daddr=41.1122,-88.83","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 673-3120","(815)625-7830 - 34",41.1122,-88.83
"Pontiac","Head Start and Early Head Start","1303 E Indiana Ave","Boys 'N Girls Club","Pontiac","IL","61764","1207","Livingston County",false,"(309) 662-4880","https://maps.google.com?saddr=40.633,-89.399&daddr=40.8885,-88.6136","05CH011672","200","Heartland Head Start","206 Stillwell St","","Bloomington","IL","61701","3741","McLean County","(309) 662-4880","(309)662-4880",40.8885,-88.6136
"SPRING VALLEY EXTENDED DAY","Head Start and Early Head Start","227 E Erie St","","Spring Valley","IL","61362","2137","Bureau County",false,"(815) 663-1420","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3257,-89.1977","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 663-1420","(815)625-7830 - 34",41.3257,-89.1977
"Menard","Head Start and Early Head Start","511 S 6th St","","Petersburg","IL","62675","1605","Menard County",false,"(217) 632-0188","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0071,-89.8485","05CH011455","200","Community Action Partnership of Central Illinois, Inc.","1800 Fifth Street","","Lincoln","IL","62656","-1","Logan County","(217) 632-0188","(217)732-2159 - 257",40.0071,-89.8485
"Knoxville Head Start","Head Start","51 E Ann St","","Knoxville","IL","61448","2108","Knox County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9108,-90.2846","05CH011223","000","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.9108,-90.2846
"Kewanee 1201","Head Start","109 S Elm St","","Kewanee","IL","61443","2340","Henry County",false,"(309) 852-4346","https://maps.google.com?saddr=40.633,-89.399&daddr=41.2428,-89.9223","05CH011954","000","Project NOW, Inc., Community Action Agency","418 19th St","","Rock Island","IL","61201","8123","Rock Island County","(309) 852-4346","(309)792-4555",41.2428,-89.9223
"LASALLE","Head Start and Early Head Start","3691 Cougar Dr","","Peru","IL","61354","9302","LaSalle County",false,"(815) 322-7537","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3606,-89.161","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 322-7537","(815)625-7830 - 34",41.3606,-89.161
"Early Head Start Home Based Program Knox, Warren & Henderson Counties 24 slots","Early Head Start","527 Iowa Ct","","Galesburg","IL","61401","5423","Knox County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9408,-90.3401","05CH011223","200","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.9408,-90.3401
"Knox County  Head Start II","Head Start","515 Iowa Ct","","Galesburg","IL","61401","5423","Knox County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9409,-90.3403","05CH011223","000","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.9409,-90.3403
"Abingdon Head Start","Head Start","103 S Western Ave","","Abingdon","IL","61410","1622","Knox County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.8013,-90.4021","05CH011223","000","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.8013,-90.4021
"Gibson City Head Start","Head Start","401 N Church St","","Gibson City","IL","60936","1225","Ford County",false,"(217) 504-9960","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4693,-88.3741","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 504-9960","(217) 504-9960",40.4693,-88.3741
"Knox County Head Start I","Head Start","227 E Tompkins St","","Galesburg","IL","61401","4710","Knox County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9451,-90.3676","05CH011223","000","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.9451,-90.3676
"Piatt","Head Start","315 N Main St","","Cisco","IL","61830","6549","Piatt County",false,"(217) 669-2303","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0133,-88.7261","05CH011455","000","Community Action Partnership of Central Illinois, Inc.","1800 5th Street","","Lincoln","IL","62656","9107","Logan County","(217) 669-2303","(217)732-2159 - 236",40.0133,-88.7261
"OTTAWA EXTENDED DAY","Head Start","103 W McKinley Rd","","Ottawa","IL","61350","4712","LaSalle County",false,"(815) 434-1355","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3244,-88.8398","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 434-1355","(815)625-7830 - 34",41.3244,-88.8398
"OTTAWA","Head Start and Early Head Start","627 Gentleman Rd","","Ottawa","IL","61350","4136","LaSalle County",false,"(815) 433-3025","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3315,-88.8314","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 433-3025","(815)625-7830 - 34",41.3315,-88.8314
"OTTAWA FULL DAY/FULL YEAR","Head Start","1903 Pratt Ln","","Ottawa","IL","61350","1680","LaSalle County",false,"(815) 433-9750","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3624,-88.8308","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 433-9750","(815)625-7830 - 34",41.3624,-88.8308
"Empowerment Opportunity Center","Head Start","360 E Marietta St","","Decatur","IL","62521","1142","Macon County",false,"(217) 423-2268","https://maps.google.com?saddr=40.633,-89.399&daddr=39.8515,-88.9528","05CH011044","000","Decatur-Macon County Opportunities Corporation","360 E Marietta St"," ","Decatur","IL","62521","1142","Macon County","(217) 423-2268","(217)423-2268",39.8515,-88.9528
"Baby TALK, Inc","Early Head Start","355 E Marietta St","","Decatur","IL","62521","1140","Macon County",false,"(217) 475-2234","https://maps.google.com?saddr=40.633,-89.399&daddr=39.851,-88.9524","05CH011003","200","Baby TALK, Inc.","355 E Marietta St"," ","Decatur","IL","62521","1140","Macon County","(217) 475-2234","(217)422-9930",39.851,-88.9524
"Cook Site","Head Start and Early Head Start","1108 E Cook St","","Springfield","IL","62703","1735","Sangamon County",false,"(217) 528-0893","https://maps.google.com?saddr=40.633,-89.399&daddr=39.7948,-89.6408","05CH011036","000","Springfield Urban League, Inc.","100 N 11th St","1108 East Cook Street","Springfield","IL","62703","1002","Sangamon County","(217) 528-0893","(217)789-0893 - 1210",39.7948,-89.6408
"Apple Orchard","Head Start","770 Apple Orchard Rd","","Springfield","IL","62703","5924","Sangamon County",false,"(217) 528-8028","https://maps.google.com?saddr=40.633,-89.399&daddr=39.7609,-89.6451","05CH011036","000","Springfield Urban League, Inc.","100 N 11th St","1108 East Cook Street","Springfield","IL","62703","1002","Sangamon County","(217) 528-8028","(217)789-0893 - 1210",39.7609,-89.6451
"SENECA","Head Start","307 E Scott St","","Seneca","IL","61360","2008","LaSalle County",false,"(815) 357-6461","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3152,-88.6032","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 357-6461","(815)625-7830 - 34",41.3152,-88.6032
"MENDOTA","Head Start","101 4th St","","Mendota","IL","61342","2327","LaSalle County",false,"(815) 538-3026","https://maps.google.com?saddr=40.633,-89.399&daddr=41.545,-89.1089","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 538-3026","(815)625-7830 - 34",41.545,-89.1089
"Macomb Center","Head Start and Early Head Start","320 W University Dr","","Macomb","IL","61455","1145","McDonough County",false,"(309) 298-3143","https://maps.google.com?saddr=40.633,-89.399&daddr=40.473,-90.6726","05CH010617","000","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(309) 298-3143","(217)773-3903",40.473,-90.6726
"Warren County Head Start","Head Start","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County",false,"(309) 734-3151","https://maps.google.com?saddr=40.633,-89.399&daddr=40.9172,-90.6451","05CH011223","000","West Central Community Services, Inc.","321 E Euclid Ave","","Monmouth","IL","61462","1312","Warren County","(309) 734-3151","(309)734-3151 - 235",40.9172,-90.6451
"RPC Early Childhood Education Center at West Champaign","Early Head Start","103 S Country Fair Dr","","Champaign","IL","61821","3061","Champaign County",false,"(217) 239-5951","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1161,-88.2826","05HP000138","200","Champaign County","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 239-5951","(217)819-4040",40.1161,-88.2826
"RPC Early Childhood Education Center at West Champaign","Head Start","103 S Country Fair Dr","","Champaign","IL","61821","3061","Champaign County",false,"(217) 239-5951","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1161,-88.2825","05CH011410","000","Champaign County Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 239-5951","(217)819-4040",40.1161,-88.2825
"Rantoul Head Start/Early Head Start","Head Start and Early Head Start","104 E Nightingale Ct","","Rantoul","IL","61866","3673","Champaign County",false,"(217) 893-0886","https://maps.google.com?saddr=40.633,-89.399&daddr=40.2878,-88.1575","05CH011410","200","Champaign County Early Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 893-0886","(217)819-4040",40.2878,-88.1575
"Beardstown Center","Head Start and Early Head Start","909 W 12th St","","Beardstown","IL","62618","1601","Cass County",false,"(217) 323-9422","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0072,-90.438","05CH010617","000","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 323-9422","(217)773-3903",40.0072,-90.438
"Rantoul & East St Louis Partnership","Migrant and Seasonal Head Start","1126 Country Club Ln","","Rantoul","IL","61866","3564","Champaign County",false,"","https://maps.google.com?saddr=40.633,-89.399&daddr=40.3039,-88.1392","90CM009834","001","Migrant Education, Inc.","8125 Old Highway 51 N","","Cobden","IL","62920","3044","Union County","","(618)893-4541",40.3039,-88.1392
"Paxton Head Start/Early Head Start","Head Start and Early Head Start","1195 E Pells St","","Paxton","IL","60957","1305","Ford County",false,"(217) 504-7085","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4591,-88.0832","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 504-7085","(217) 504-7085",40.4591,-88.0832
"Champaign Head Start/Early Head Start","Head Start and Early Head Start","809 N Neil St","","Champaign","IL","61820","3058","Champaign County",false,"(217) 384-1200","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1238,-88.2444","05CH011410","200","Champaign County Early Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 384-1200","(217)819-4040",40.1238,-88.2444
"Schuyler County Home Based Site-Free Methodist Church","Early Head Start","217 S Liberty St","","Rushville","IL","62681","1439","Schuyler County",false,"(217) 322-3380","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1186,-90.5621","05CH010617","200","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 322-3380","(217)773-3903",40.1186,-90.5621
"Step By Step - Morris","Head Start","123 Brentwood Dr","","Morris","IL","60450","8819","Grundy County",false,"(815) 941-1122","https://maps.google.com?saddr=40.633,-89.399&daddr=41.3769,-88.4243","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(815) 941-1122","(815) 941-1122",41.3769,-88.4243
"Savoy Head Start","Head Start","310 W Church St","","Savoy","IL","61874","9786","Champaign County",false,"(217) 384-1252","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0546,-88.2542","05CH011410","000","Champaign County Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 384-1252","(217)819-4040",40.0546,-88.2542
"Brookens Administrative Center","Head Start and Early Head Start","1776 E Washington St","Pod 100","Urbana","IL","61802","4578","Champaign County",false,"(217) 328-3313","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1066,-88.1866","05CH011410","200","Champaign County Early Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 328-3313","(217)819-4040",40.1066,-88.1866
"Urbana Head Start/Early Head Start","Head Start and Early Head Start","1603 E Mumford Dr","","Urbana","IL","61802","8603","Champaign County",false,"(217) 278-4461","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0899,-88.1885","05CH011410","200","Champaign County Early Head Start","1776 East Washington Street","","Urbana","IL","61802","4578","Champaign County","(217) 278-4461","(217)819-4040",40.0899,-88.1885
"Gilman Head Start","Head Start","210 N Central St","","Gilman","IL","60938","1219","Iroquois County",false,"(217) 474-8175","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7686,-87.9932","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 474-8175","(217) 474-8175",40.7686,-87.9932
"Step by Step - Diamond","Head Start","125 S Berta Rd","","Diamond","IL","60416","7080","Grundy County",false,"(815) 634-3934","https://maps.google.com?saddr=40.633,-89.399&daddr=41.2866,-88.2656","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(815) 634-3934","(815) 634-3934",41.2866,-88.2656
"CEFS Head Start 0-5 Program-Taylorville","Head Start and Early Head Start","1104 W Spresser St","Ste 4","Taylorville","IL","62568","1783","Christian County",false,"(217) 287-2200","https://maps.google.com?saddr=40.633,-89.399&daddr=39.5526,-89.3086","05CH011248","000","C.E.F.S. ECONOMIC OPPORTUNITY CORPORATION","1805 S Banker St","","Effingham","IL","62401","2765","Effingham County","(217) 287-2200","(217)342-2193 - 139",39.5526,-89.3086
"Just For Kids","Head Start and Early Head Start","400 W State St","","Jacksonville","IL","62650","1902","Morgan County",false,"(217) 479-8272","https://maps.google.com?saddr=40.633,-89.399&daddr=39.7343,-90.2341","05CH011036","200","Springfield Urban League, Inc.","1108 E Cook St","100 North 11th Street","Springfield","IL","62703","1735","Sangamon County","(217) 479-8272","(217)789-0893 - 1210",39.7343,-90.2341
"PAW PAW","Head Start and Early Head Start","511 Chapman St","","Paw Paw","IL","61353","8932","Lee County",false,"(815) 246-7288","https://maps.google.com?saddr=40.633,-89.399&daddr=41.6914,-88.9778","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 246-7288","(815)625-7830 - 34",41.6914,-88.9778
"Colona Center 1200","Head Start","700 1st St","","Colona","IL","61241","9028","Henry County",false,"(309) 792-1232","https://maps.google.com?saddr=40.633,-89.399&daddr=41.4733,-90.3581","05CH011954","000","Project NOW, Inc., Community Action Agency","418 19th St","","Rock Island","IL","61201","8123","Rock Island County","(309) 792-1232","(309)792-4555",41.4733,-90.3581
"Herscher","Head Start","522 E Smith St","","Bonfield","IL","60913","6932","Kankakee County",false,"(815) 933-6995","https://maps.google.com?saddr=40.633,-89.399&daddr=41.1471,-88.0501","05CH011795","000","Kankakee School District 111 Head Start","240 Warren Ave","","Kankakee","IL","60901","4319","Kankakee County","(815) 933-6995","(815)802-4952",41.1471,-88.0501
